 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     1.58E+22   1   nobuffer  Earth            100.00    874.01   1205.92            1.249E+03  1.097E+01  7.829E+00  2.307E+03  1.840E-02  7.274E+01  6.465E-04
 quenched pressures   1.58E+22   1   nobuffer  Earth            100.00    874.01   1205.92            4.247E+01  3.727E-01  2.661E-01  7.840E+01  6.255E-04  2.472E+00  2.198E-05
 dry pressures        1.58E+22   1   nobuffer  Earth            100.00    874.01   1205.92            0.000E+00  4.659E-01  3.327E-01  9.801E+01  7.820E-04  3.091E+00  2.747E-05

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   2010.00  1.240E+02  4.277E+01  6.929E-02  5.720E-01  7.810E+01  2.009E-13  2.472E+00  5.886E-07
    2   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   2000.00  1.240E+02  4.277E+01  6.979E-02  5.715E-01  7.810E+01  1.855E-13  2.472E+00  6.048E-07
    3   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1990.00  1.240E+02  4.277E+01  7.030E-02  5.710E-01  7.810E+01  2.164E-13  2.472E+00  6.217E-07
    4   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1980.00  1.240E+02  4.277E+01  7.082E-02  5.705E-01  7.810E+01  2.473E-13  2.472E+00  6.392E-07
    5   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1970.00  1.240E+02  4.277E+01  7.134E-02  5.700E-01  7.810E+01  2.628E-13  2.472E+00  6.574E-07
    6   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1960.00  1.240E+02  4.277E+01  7.188E-02  5.694E-01  7.810E+01  2.937E-13  2.472E+00  6.762E-07
    7   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1950.00  1.240E+02  4.277E+01  7.243E-02  5.689E-01  7.810E+01  3.246E-13  2.472E+00  6.959E-07
    8   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1940.00  1.240E+02  4.277E+01  7.298E-02  5.683E-01  7.810E+01  3.555E-13  2.472E+00  7.163E-07
    9   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1930.00  1.240E+02  4.277E+01  7.355E-02  5.678E-01  7.810E+01  4.019E-13  2.472E+00  7.375E-07
   10   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1920.00  1.240E+02  4.277E+01  7.412E-02  5.672E-01  7.810E+01  3.864E-13  2.472E+00  7.596E-07
   11   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1910.00  1.240E+02  4.277E+01  7.471E-02  5.666E-01  7.810E+01  4.637E-13  2.472E+00  7.827E-07
   12   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1900.00  1.240E+02  4.277E+01  7.531E-02  5.660E-01  7.810E+01  5.101E-13  2.472E+00  8.066E-07
   13   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1890.00  1.240E+02  4.277E+01  7.592E-02  5.654E-01  7.810E+01  5.565E-13  2.472E+00  8.316E-07
   14   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1880.00  1.240E+02  4.277E+01  7.654E-02  5.648E-01  7.810E+01  6.183E-13  2.472E+00  8.576E-07
   15   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1870.00  1.240E+02  4.277E+01  7.718E-02  5.642E-01  7.810E+01  6.956E-13  2.472E+00  8.848E-07
   16   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1860.00  1.240E+02  4.277E+01  7.782E-02  5.635E-01  7.810E+01  7.729E-13  2.472E+00  9.131E-07
   17   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1850.00  1.240E+02  4.276E+01  7.848E-02  5.628E-01  7.810E+01  8.501E-13  2.472E+00  9.426E-07
   18   1    nobuffer  Earth         1.00    100.00    874.01   1205.92   1840.00  1.240E+02  4.276E+01  7.915E-02  5.622E-01  7.811E+01  9.274E-13  2.472E+00  9.735E-07
