 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     3.98E+22   1   nobuffer  Earth            100.00    829.06   1175.13            4.917E+03  3.993E+01  5.513E+00  2.308E+03  4.879E-01  7.273E+01  7.484E-03
 quenched pressures   3.98E+22   1   nobuffer  Earth            100.00    829.06   1175.13            1.265E+02  1.027E+00  1.418E-01  5.937E+01  1.255E-02  1.870E+00  1.925E-04
 dry pressures        3.98E+22   1   nobuffer  Earth            100.00    829.06   1175.13            0.000E+00  1.678E+00  2.316E-01  9.699E+01  2.050E-02  3.056E+00  3.144E-04

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   2010.00  1.889E+02  1.271E+02  3.947E-01  8.241E-01  5.869E+01  1.642E-11  1.871E+00  6.961E-06
    2   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   2000.00  1.889E+02  1.271E+02  3.969E-01  8.219E-01  5.870E+01  1.781E-11  1.871E+00  7.134E-06
    3   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1990.00  1.889E+02  1.271E+02  3.990E-01  8.198E-01  5.870E+01  1.934E-11  1.871E+00  7.313E-06
    4   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1980.00  1.889E+02  1.271E+02  4.012E-01  8.176E-01  5.870E+01  2.102E-11  1.871E+00  7.498E-06
    5   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1970.00  1.889E+02  1.271E+02  4.035E-01  8.153E-01  5.870E+01  2.284E-11  1.871E+00  7.690E-06
    6   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1960.00  1.889E+02  1.271E+02  4.057E-01  8.131E-01  5.870E+01  2.487E-11  1.871E+00  7.888E-06
    7   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1950.00  1.889E+02  1.271E+02  4.080E-01  8.108E-01  5.871E+01  2.710E-11  1.871E+00  8.094E-06
    8   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1940.00  1.889E+02  1.271E+02  4.104E-01  8.084E-01  5.871E+01  2.955E-11  1.871E+00  8.307E-06
    9   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1930.00  1.889E+02  1.271E+02  4.127E-01  8.061E-01  5.871E+01  3.223E-11  1.871E+00  8.528E-06
   10   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1920.00  1.889E+02  1.271E+02  4.151E-01  8.037E-01  5.871E+01  3.520E-11  1.871E+00  8.758E-06
   11   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1910.00  1.889E+02  1.271E+02  4.176E-01  8.012E-01  5.872E+01  3.846E-11  1.871E+00  8.995E-06
   12   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1900.00  1.889E+02  1.271E+02  4.201E-01  7.987E-01  5.872E+01  4.209E-11  1.871E+00  9.242E-06
   13   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1890.00  1.889E+02  1.271E+02  4.226E-01  7.962E-01  5.872E+01  4.609E-11  1.871E+00  9.498E-06
   14   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1880.00  1.889E+02  1.271E+02  4.251E-01  7.937E-01  5.872E+01  5.051E-11  1.871E+00  9.764E-06
   15   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1870.00  1.889E+02  1.271E+02  4.277E-01  7.911E-01  5.873E+01  5.541E-11  1.871E+00  1.004E-05
   16   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1860.00  1.889E+02  1.271E+02  4.303E-01  7.885E-01  5.873E+01  6.085E-11  1.871E+00  1.033E-05
   17   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1850.00  1.889E+02  1.271E+02  4.330E-01  7.858E-01  5.873E+01  6.686E-11  1.871E+00  1.062E-05
   18   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1840.00  1.889E+02  1.271E+02  4.357E-01  7.831E-01  5.873E+01  7.357E-11  1.871E+00  1.093E-05
   19   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1830.00  1.889E+02  1.271E+02  4.384E-01  7.804E-01  5.874E+01  8.101E-11  1.871E+00  1.126E-05
   20   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1820.00  1.889E+02  1.271E+02  4.412E-01  7.776E-01  5.874E+01  8.930E-11  1.871E+00  1.159E-05
   21   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1810.00  1.889E+02  1.271E+02  4.441E-01  7.747E-01  5.874E+01  9.854E-11  1.871E+00  1.194E-05
   22   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1800.00  1.889E+02  1.271E+02  4.469E-01  7.719E-01  5.875E+01  1.088E-10  1.871E+00  1.230E-05
   23   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1790.00  1.889E+02  1.271E+02  4.499E-01  7.689E-01  5.875E+01  1.203E-10  1.871E+00  1.268E-05
   24   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1780.00  1.889E+02  1.271E+02  4.528E-01  7.660E-01  5.875E+01  1.332E-10  1.871E+00  1.308E-05
   25   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1770.00  1.889E+02  1.271E+02  4.558E-01  7.630E-01  5.876E+01  1.476E-10  1.871E+00  1.349E-05
   26   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1760.00  1.889E+02  1.270E+02  4.589E-01  7.599E-01  5.876E+01  1.637E-10  1.871E+00  1.391E-05
   27   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1750.00  1.889E+02  1.270E+02  4.620E-01  7.568E-01  5.876E+01  1.818E-10  1.871E+00  1.436E-05
   28   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1740.00  1.889E+02  1.270E+02  4.652E-01  7.536E-01  5.876E+01  2.020E-10  1.871E+00  1.483E-05
   29   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1730.00  1.889E+02  1.270E+02  4.684E-01  7.504E-01  5.877E+01  2.249E-10  1.871E+00  1.531E-05
   30   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1720.00  1.889E+02  1.270E+02  4.716E-01  7.472E-01  5.877E+01  2.506E-10  1.871E+00  1.582E-05
   31   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1710.00  1.889E+02  1.270E+02  4.750E-01  7.439E-01  5.877E+01  2.795E-10  1.871E+00  1.635E-05
   32   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1700.00  1.889E+02  1.270E+02  4.783E-01  7.405E-01  5.878E+01  3.122E-10  1.871E+00  1.690E-05
   33   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1690.00  1.889E+02  1.270E+02  4.817E-01  7.371E-01  5.878E+01  3.491E-10  1.871E+00  1.748E-05
   34   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1680.00  1.889E+02  1.270E+02  4.852E-01  7.336E-01  5.878E+01  3.908E-10  1.871E+00  1.809E-05
   35   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1670.00  1.889E+02  1.270E+02  4.887E-01  7.301E-01  5.879E+01  4.381E-10  1.871E+00  1.872E-05
   36   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1660.00  1.889E+02  1.270E+02  4.923E-01  7.265E-01  5.879E+01  4.918E-10  1.871E+00  1.938E-05
   37   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1650.00  1.889E+02  1.270E+02  4.960E-01  7.228E-01  5.880E+01  5.527E-10  1.871E+00  2.008E-05
   38   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1640.00  1.889E+02  1.270E+02  4.997E-01  7.191E-01  5.880E+01  6.219E-10  1.871E+00  2.080E-05
   39   1    nobuffer  Earth         1.00    100.00    829.06   1175.13   1630.00  1.889E+02  1.270E+02  5.035E-01  7.153E-01  5.880E+01  7.008E-10  1.871E+00  2.157E-05
