 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     6.31E+22   1   nobuffer  Earth            100.00    803.03   1157.11            8.485E+03  6.295E+01  4.225E+00  2.308E+03  1.985E+00  7.273E+01  1.925E-02
 quenched pressures   6.31E+22   1   nobuffer  Earth            100.00    803.03   1157.11            1.955E+02  1.451E+00  9.737E-02  5.319E+01  4.574E-02  1.675E+00  4.435E-04
 dry pressures        6.31E+22   1   nobuffer  Earth            100.00    803.03   1157.11            0.000E+00  2.621E+00  1.759E-01  9.609E+01  8.263E-02  3.028E+00  8.016E-04

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   2010.00  2.520E+02  1.962E+02  7.841E-01  9.462E-01  5.237E+01  9.571E-11  1.676E+00  1.844E-05
    2   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   2000.00  2.520E+02  1.962E+02  7.875E-01  9.428E-01  5.237E+01  1.034E-10  1.676E+00  1.887E-05
    3   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1990.00  2.520E+02  1.962E+02  7.910E-01  9.393E-01  5.237E+01  1.118E-10  1.676E+00  1.931E-05
    4   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1980.00  2.520E+02  1.962E+02  7.945E-01  9.358E-01  5.238E+01  1.210E-10  1.676E+00  1.977E-05
    5   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1970.00  2.520E+02  1.962E+02  7.980E-01  9.322E-01  5.238E+01  1.310E-10  1.676E+00  2.024E-05
    6   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1960.00  2.520E+02  1.962E+02  8.016E-01  9.287E-01  5.238E+01  1.420E-10  1.676E+00  2.073E-05
    7   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1950.00  2.520E+02  1.962E+02  8.053E-01  9.250E-01  5.239E+01  1.539E-10  1.676E+00  2.124E-05
    8   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1940.00  2.520E+02  1.962E+02  8.089E-01  9.213E-01  5.239E+01  1.670E-10  1.676E+00  2.176E-05
    9   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1930.00  2.520E+02  1.962E+02  8.127E-01  9.176E-01  5.240E+01  1.815E-10  1.676E+00  2.230E-05
   10   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1920.00  2.520E+02  1.962E+02  8.165E-01  9.138E-01  5.240E+01  1.972E-10  1.676E+00  2.286E-05
   11   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1910.00  2.520E+02  1.962E+02  8.203E-01  9.100E-01  5.240E+01  2.146E-10  1.676E+00  2.344E-05
   12   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1900.00  2.520E+02  1.962E+02  8.241E-01  9.061E-01  5.241E+01  2.336E-10  1.676E+00  2.404E-05
   13   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1890.00  2.520E+02  1.962E+02  8.281E-01  9.022E-01  5.241E+01  2.546E-10  1.676E+00  2.466E-05
   14   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1880.00  2.520E+02  1.962E+02  8.320E-01  8.983E-01  5.241E+01  2.776E-10  1.676E+00  2.530E-05
   15   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1870.00  2.520E+02  1.962E+02  8.360E-01  8.942E-01  5.242E+01  3.031E-10  1.676E+00  2.597E-05
   16   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1860.00  2.520E+02  1.961E+02  8.401E-01  8.902E-01  5.242E+01  3.311E-10  1.676E+00  2.666E-05
   17   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1850.00  2.520E+02  1.961E+02  8.442E-01  8.861E-01  5.243E+01  3.621E-10  1.676E+00  2.738E-05
   18   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1840.00  2.520E+02  1.961E+02  8.484E-01  8.819E-01  5.243E+01  3.962E-10  1.676E+00  2.812E-05
   19   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1830.00  2.520E+02  1.961E+02  8.526E-01  8.777E-01  5.244E+01  4.341E-10  1.676E+00  2.889E-05
   20   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1820.00  2.520E+02  1.961E+02  8.569E-01  8.734E-01  5.244E+01  4.759E-10  1.676E+00  2.969E-05
   21   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1810.00  2.520E+02  1.961E+02  8.612E-01  8.690E-01  5.244E+01  5.223E-10  1.676E+00  3.052E-05
   22   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1800.00  2.520E+02  1.961E+02  8.656E-01  8.647E-01  5.245E+01  5.738E-10  1.676E+00  3.139E-05
   23   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1790.00  2.520E+02  1.961E+02  8.701E-01  8.602E-01  5.245E+01  6.309E-10  1.676E+00  3.228E-05
   24   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1780.00  2.520E+02  1.961E+02  8.746E-01  8.557E-01  5.246E+01  6.944E-10  1.676E+00  3.322E-05
   25   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1770.00  2.520E+02  1.961E+02  8.791E-01  8.512E-01  5.246E+01  7.650E-10  1.676E+00  3.418E-05
   26   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1760.00  2.520E+02  1.961E+02  8.837E-01  8.465E-01  5.247E+01  8.437E-10  1.676E+00  3.519E-05
   27   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1750.00  2.520E+02  1.961E+02  8.884E-01  8.419E-01  5.247E+01  9.314E-10  1.676E+00  3.624E-05
   28   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1740.00  2.520E+02  1.961E+02  8.931E-01  8.371E-01  5.248E+01  1.029E-09  1.676E+00  3.733E-05
   29   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1730.00  2.520E+02  1.961E+02  8.979E-01  8.323E-01  5.248E+01  1.139E-09  1.676E+00  3.847E-05
   30   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1720.00  2.520E+02  1.961E+02  9.028E-01  8.275E-01  5.249E+01  1.261E-09  1.676E+00  3.965E-05
   31   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1710.00  2.520E+02  1.961E+02  9.077E-01  8.226E-01  5.249E+01  1.398E-09  1.676E+00  4.088E-05
   32   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1700.00  2.520E+02  1.961E+02  9.127E-01  8.176E-01  5.250E+01  1.552E-09  1.676E+00  4.217E-05
   33   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1690.00  2.520E+02  1.961E+02  9.178E-01  8.125E-01  5.250E+01  1.724E-09  1.676E+00  4.351E-05
   34   1    nobuffer  Earth         1.00    100.00    803.03   1157.11   1680.00  2.520E+02  1.961E+02  9.229E-01  8.074E-01  5.251E+01  1.918E-09  1.676E+00  4.490E-05
