 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     1.00E+22   1   nobuffer  Earth            100.00    891.08   1218.49            5.619E+02  3.816E+00  6.670E+00  2.308E+03  1.451E-03  7.274E+01  1.114E-04
 quenched pressures   1.00E+22   1   nobuffer  Earth            100.00    891.08   1218.49            2.128E+01  1.445E-01  2.526E-01  8.740E+01  5.495E-05  2.755E+00  4.220E-06
 dry pressures        1.00E+22   1   nobuffer  Earth            100.00    891.08   1218.49            0.000E+00  1.626E-01  2.843E-01  9.836E+01  6.184E-05  3.100E+00  4.749E-06

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   2010.00  1.118E+02  2.141E+01  2.045E-02  3.769E-01  8.728E+01  3.036E-14  2.755E+00  1.061E-07
    2   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   2000.00  1.118E+02  2.141E+01  2.061E-02  3.767E-01  8.728E+01  1.518E-14  2.755E+00  1.091E-07
    3   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1990.00  1.118E+02  2.141E+01  2.077E-02  3.766E-01  8.728E+01  1.518E-14  2.755E+00  1.122E-07
    4   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1980.00  1.118E+02  2.141E+01  2.093E-02  3.764E-01  8.728E+01  1.518E-14  2.755E+00  1.155E-07
    5   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1970.00  1.118E+02  2.141E+01  2.110E-02  3.762E-01  8.728E+01  1.518E-14  2.755E+00  1.188E-07
    6   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1960.00  1.118E+02  2.141E+01  2.127E-02  3.761E-01  8.728E+01  1.518E-14  2.755E+00  1.224E-07
    7   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1950.00  1.118E+02  2.141E+01  2.144E-02  3.759E-01  8.728E+01  1.518E-14  2.755E+00  1.260E-07
    8   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1940.00  1.118E+02  2.140E+01  2.162E-02  3.757E-01  8.728E+01  1.518E-14  2.755E+00  1.298E-07
    9   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1930.00  1.118E+02  2.140E+01  2.180E-02  3.755E-01  8.728E+01  1.518E-14  2.755E+00  1.338E-07
   10   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1920.00  1.118E+02  2.140E+01  2.198E-02  3.754E-01  8.728E+01  1.518E-14  2.755E+00  1.379E-07
   11   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1910.00  1.118E+02  2.140E+01  2.216E-02  3.752E-01  8.728E+01  1.518E-14  2.755E+00  1.422E-07
   12   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1900.00  1.118E+02  2.140E+01  2.235E-02  3.750E-01  8.728E+01  1.518E-14  2.755E+00  1.467E-07
   13   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1890.00  1.118E+02  2.140E+01  2.255E-02  3.748E-01  8.728E+01  3.036E-14  2.755E+00  1.513E-07
   14   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1880.00  1.118E+02  2.140E+01  2.275E-02  3.746E-01  8.728E+01  3.036E-14  2.755E+00  1.562E-07
   15   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1870.00  1.118E+02  2.140E+01  2.295E-02  3.744E-01  8.728E+01  3.036E-14  2.755E+00  1.613E-07
   16   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1860.00  1.118E+02  2.140E+01  2.315E-02  3.742E-01  8.728E+01  6.071E-14  2.755E+00  1.666E-07
   17   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1850.00  1.118E+02  2.140E+01  2.337E-02  3.740E-01  8.728E+01  4.553E-14  2.755E+00  1.721E-07
   18   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1840.00  1.118E+02  2.140E+01  2.358E-02  3.738E-01  8.728E+01  4.553E-14  2.755E+00  1.779E-07
   19   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1830.00  1.118E+02  2.140E+01  2.380E-02  3.735E-01  8.728E+01  4.553E-14  2.755E+00  1.840E-07
   20   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1820.00  1.118E+02  2.140E+01  2.402E-02  3.733E-01  8.728E+01  7.589E-14  2.755E+00  1.903E-07
   21   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1810.00  1.118E+02  2.140E+01  2.425E-02  3.731E-01  8.728E+01  6.071E-14  2.755E+00  1.970E-07
   22   1    nobuffer  Earth         1.00    100.00    891.08   1218.49   1800.00  1.118E+02  2.140E+01  2.449E-02  3.729E-01  8.728E+01  9.107E-14  2.755E+00  2.039E-07
