 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     2.51E+23   1   nobuffer  Earth            100.00    737.62   1110.22            2.807E+04  1.410E+02  1.691E+00  2.274E+03  3.908E+01  7.263E+01  2.227E-01
 quenched pressures   2.51E+23   1   nobuffer  Earth            100.00    737.62   1110.22            5.480E+02  2.753E+00  3.302E-02  4.439E+01  7.629E-01  1.414E+00  4.336E-03
 dry pressures        2.51E+23   1   nobuffer  Earth            100.00    737.62   1110.22            0.000E+00  5.644E+00  6.768E-02  9.099E+01  1.564E+00  2.906E+00  8.912E-03

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   2010.00  5.973E+02  5.465E+02  4.281E+00  1.542E+00  4.353E+01  9.114E-09  1.416E+00  2.164E-04
    2   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   2000.00  5.973E+02  5.465E+02  4.290E+00  1.533E+00  4.353E+01  9.759E-09  1.416E+00  2.206E-04
    3   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1990.00  5.973E+02  5.465E+02  4.299E+00  1.524E+00  4.354E+01  1.046E-08  1.416E+00  2.250E-04
    4   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1980.00  5.973E+02  5.465E+02  4.308E+00  1.515E+00  4.355E+01  1.121E-08  1.416E+00  2.295E-04
    5   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1970.00  5.973E+02  5.465E+02  4.317E+00  1.506E+00  4.356E+01  1.203E-08  1.416E+00  2.342E-04
    6   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1960.00  5.973E+02  5.465E+02  4.326E+00  1.497E+00  4.357E+01  1.291E-08  1.416E+00  2.390E-04
    7   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1950.00  5.973E+02  5.465E+02  4.336E+00  1.487E+00  4.358E+01  1.387E-08  1.416E+00  2.439E-04
    8   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1940.00  5.973E+02  5.465E+02  4.345E+00  1.478E+00  4.359E+01  1.491E-08  1.416E+00  2.490E-04
    9   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1930.00  5.973E+02  5.465E+02  4.354E+00  1.469E+00  4.360E+01  1.604E-08  1.416E+00  2.543E-04
   10   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1920.00  5.973E+02  5.465E+02  4.364E+00  1.459E+00  4.361E+01  1.726E-08  1.416E+00  2.597E-04
   11   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1910.00  5.973E+02  5.464E+02  4.373E+00  1.450E+00  4.362E+01  1.860E-08  1.416E+00  2.653E-04
   12   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1900.00  5.973E+02  5.464E+02  4.383E+00  1.440E+00  4.363E+01  2.005E-08  1.416E+00  2.710E-04
   13   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1890.00  5.973E+02  5.464E+02  4.392E+00  1.430E+00  4.364E+01  2.163E-08  1.416E+00  2.770E-04
   14   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1880.00  5.973E+02  5.464E+02  4.402E+00  1.421E+00  4.365E+01  2.335E-08  1.416E+00  2.831E-04
   15   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1870.00  5.973E+02  5.464E+02  4.412E+00  1.411E+00  4.366E+01  2.523E-08  1.416E+00  2.894E-04
   16   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1860.00  5.973E+02  5.464E+02  4.422E+00  1.401E+00  4.367E+01  2.728E-08  1.416E+00  2.960E-04
   17   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1850.00  5.973E+02  5.464E+02  4.432E+00  1.391E+00  4.368E+01  2.952E-08  1.416E+00  3.027E-04
   18   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1840.00  5.973E+02  5.464E+02  4.442E+00  1.381E+00  4.369E+01  3.197E-08  1.416E+00  3.097E-04
   19   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1830.00  5.973E+02  5.464E+02  4.452E+00  1.371E+00  4.370E+01  3.465E-08  1.416E+00  3.169E-04
   20   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1820.00  5.973E+02  5.464E+02  4.462E+00  1.361E+00  4.371E+01  3.759E-08  1.416E+00  3.244E-04
   21   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1810.00  5.973E+02  5.463E+02  4.472E+00  1.351E+00  4.372E+01  4.081E-08  1.416E+00  3.321E-04
   22   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1800.00  5.973E+02  5.463E+02  4.483E+00  1.340E+00  4.373E+01  4.434E-08  1.416E+00  3.401E-04
   23   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1790.00  5.973E+02  5.463E+02  4.493E+00  1.330E+00  4.374E+01  4.822E-08  1.416E+00  3.483E-04
   24   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1780.00  5.973E+02  5.463E+02  4.504E+00  1.319E+00  4.375E+01  5.248E-08  1.416E+00  3.569E-04
   25   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1770.00  5.973E+02  5.463E+02  4.514E+00  1.309E+00  4.376E+01  5.717E-08  1.416E+00  3.657E-04
   26   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1760.00  5.973E+02  5.463E+02  4.525E+00  1.298E+00  4.377E+01  6.234E-08  1.416E+00  3.749E-04
   27   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1750.00  5.973E+02  5.463E+02  4.536E+00  1.287E+00  4.378E+01  6.803E-08  1.416E+00  3.843E-04
   28   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1740.00  5.973E+02  5.463E+02  4.546E+00  1.277E+00  4.379E+01  7.431E-08  1.416E+00  3.942E-04
   29   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1730.00  5.973E+02  5.463E+02  4.557E+00  1.266E+00  4.380E+01  8.125E-08  1.416E+00  4.044E-04
   30   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1720.00  5.973E+02  5.463E+02  4.568E+00  1.255E+00  4.381E+01  8.892E-08  1.416E+00  4.149E-04
   31   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1710.00  5.973E+02  5.462E+02  4.579E+00  1.244E+00  4.382E+01  9.741E-08  1.416E+00  4.259E-04
   32   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1700.00  5.973E+02  5.462E+02  4.590E+00  1.233E+00  4.383E+01  1.068E-07  1.416E+00  4.373E-04
   33   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1690.00  5.973E+02  5.462E+02  4.602E+00  1.221E+00  4.385E+01  1.173E-07  1.416E+00  4.491E-04
   34   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1680.00  5.973E+02  5.462E+02  4.613E+00  1.210E+00  4.386E+01  1.288E-07  1.416E+00  4.613E-04
   35   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1670.00  5.973E+02  5.462E+02  4.624E+00  1.199E+00  4.387E+01  1.417E-07  1.416E+00  4.741E-04
   36   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1660.00  5.973E+02  5.462E+02  4.636E+00  1.187E+00  4.388E+01  1.560E-07  1.416E+00  4.873E-04
   37   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1650.00  5.973E+02  5.462E+02  4.647E+00  1.176E+00  4.389E+01  1.720E-07  1.416E+00  5.010E-04
   38   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1640.00  5.973E+02  5.462E+02  4.659E+00  1.164E+00  4.390E+01  1.898E-07  1.416E+00  5.153E-04
   39   1    nobuffer  Earth         1.00    100.00    737.62   1110.22   1630.00  5.973E+02  5.461E+02  4.670E+00  1.152E+00  4.391E+01  2.096E-07  1.416E+00  5.302E-04
