 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     3.98E+23   1   nobuffer  Earth            100.00    737.82   1110.33            2.797E+04  1.676E+02  1.987E+00  2.236E+03  7.610E+01  7.252E+01  4.413E-01
 quenched pressures   3.98E+23   1   nobuffer  Earth            100.00    737.82   1110.33            5.448E+02  3.264E+00  3.870E-02  4.356E+01  1.482E+00  1.406E+00  8.553E-03
 dry pressures        3.98E+23   1   nobuffer  Earth            100.00    737.82   1110.33            0.000E+00  6.572E+00  7.793E-02  8.771E+01  2.985E+00  2.844E+00  1.731E-02

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   2010.00  5.946E+02  5.415E+02  6.782E+00  2.404E+00  4.246E+01  5.703E-08  1.410E+00  4.304E-04
    2   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   2000.00  5.946E+02  5.415E+02  6.796E+00  2.391E+00  4.247E+01  6.106E-08  1.410E+00  4.388E-04
    3   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1990.00  5.946E+02  5.415E+02  6.810E+00  2.377E+00  4.248E+01  6.541E-08  1.410E+00  4.475E-04
    4   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1980.00  5.946E+02  5.415E+02  6.823E+00  2.363E+00  4.250E+01  7.012E-08  1.410E+00  4.565E-04
    5   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1970.00  5.946E+02  5.414E+02  6.837E+00  2.349E+00  4.251E+01  7.522E-08  1.410E+00  4.657E-04
    6   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1960.00  5.946E+02  5.414E+02  6.852E+00  2.335E+00  4.252E+01  8.074E-08  1.410E+00  4.752E-04
    7   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1950.00  5.946E+02  5.414E+02  6.866E+00  2.321E+00  4.254E+01  8.673E-08  1.410E+00  4.850E-04
    8   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1940.00  5.946E+02  5.414E+02  6.880E+00  2.306E+00  4.255E+01  9.322E-08  1.410E+00  4.951E-04
    9   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1930.00  5.946E+02  5.414E+02  6.895E+00  2.292E+00  4.257E+01  1.003E-07  1.410E+00  5.054E-04
   10   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1920.00  5.946E+02  5.414E+02  6.909E+00  2.277E+00  4.258E+01  1.079E-07  1.410E+00  5.162E-04
   11   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1910.00  5.946E+02  5.414E+02  6.924E+00  2.263E+00  4.260E+01  1.163E-07  1.410E+00  5.272E-04
   12   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1900.00  5.946E+02  5.413E+02  6.939E+00  2.248E+00  4.261E+01  1.253E-07  1.410E+00  5.386E-04
   13   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1890.00  5.946E+02  5.413E+02  6.953E+00  2.233E+00  4.263E+01  1.352E-07  1.410E+00  5.504E-04
   14   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1880.00  5.946E+02  5.413E+02  6.968E+00  2.218E+00  4.264E+01  1.459E-07  1.410E+00  5.625E-04
   15   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1870.00  5.946E+02  5.413E+02  6.984E+00  2.203E+00  4.266E+01  1.577E-07  1.410E+00  5.750E-04
   16   1    nobuffer  Earth         1.00    100.00    737.82   1110.33   1860.00  5.946E+02  5.413E+02  6.999E+00  2.187E+00  4.267E+01  1.705E-07  1.410E+00  5.880E-04
