 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     1.00E+23   1   nobuffer  Earth            100.00    775.88   1137.98            1.414E+04  8.960E+01  2.953E+00  2.305E+03  6.625E+00  7.271E+01  4.606E-02
 quenched pressures   1.00E+23   1   nobuffer  Earth            100.00    775.88   1137.98            2.995E+02  1.897E+00  6.253E-02  4.881E+01  1.403E-01  1.539E+00  9.746E-04
 dry pressures        1.00E+23   1   nobuffer  Earth            100.00    775.88   1137.98            0.000E+00  3.688E+00  1.216E-01  9.487E+01  2.727E-01  2.993E+00  1.896E-03

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    775.88   1137.98   2010.00  3.520E+02  3.000E+02  1.463E+00  1.056E+00  4.791E+01  4.537E-10  1.539E+00  4.504E-05
    2   1    nobuffer  Earth         1.00    100.00    775.88   1137.98   2000.00  3.520E+02  3.000E+02  1.468E+00  1.051E+00  4.792E+01  4.881E-10  1.539E+00  4.601E-05
    3   1    nobuffer  Earth         1.00    100.00    775.88   1137.98   1990.00  3.520E+02  3.000E+02  1.472E+00  1.046E+00  4.792E+01  5.256E-10  1.539E+00  4.702E-05
    4   1    nobuffer  Earth         1.00    100.00    775.88   1137.98   1980.00  3.520E+02  3.000E+02  1.477E+00  1.042E+00  4.793E+01  5.663E-10  1.539E+00  4.805E-05
    5   1    nobuffer  Earth         1.00    100.00    775.88   1137.98   1970.00  3.520E+02  3.000E+02  1.482E+00  1.036E+00  4.793E+01  6.106E-10  1.539E+00  4.912E-05
    6   1    nobuffer  Earth         1.00    100.00    775.88   1137.98   1960.00  3.520E+02  3.000E+02  1.488E+00  1.031E+00  4.794E+01  6.588E-10  1.539E+00  5.023E-05
    7   1    nobuffer  Earth         1.00    100.00    775.88   1137.98   1950.00  3.520E+02  3.000E+02  1.493E+00  1.026E+00  4.794E+01  7.114E-10  1.539E+00  5.137E-05
    8   1    nobuffer  Earth         1.00    100.00    775.88   1137.98   1940.00  3.520E+02  2.999E+02  1.498E+00  1.021E+00  4.795E+01  7.687E-10  1.539E+00  5.254E-05
    9   1    nobuffer  Earth         1.00    100.00    775.88   1137.98   1930.00  3.520E+02  2.999E+02  1.503E+00  1.016E+00  4.795E+01  8.312E-10  1.539E+00  5.376E-05
   10   1    nobuffer  Earth         1.00    100.00    775.88   1137.98   1920.00  3.520E+02  2.999E+02  1.508E+00  1.011E+00  4.796E+01  8.995E-10  1.539E+00  5.501E-05
