 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     1.58E+24   1   nobuffer  Earth            100.00    739.48   1111.23            2.721E+04  2.677E+02  2.820E+00  1.907E+03  4.041E+02  7.118E+01  3.120E+00
 quenched pressures   1.58E+24   1   nobuffer  Earth            100.00    739.48   1111.23            5.215E+02  5.130E+00  5.404E-02  3.656E+01  7.744E+00  1.330E+00  5.831E-02
 dry pressures        1.58E+24   1   nobuffer  Earth            100.00    739.48   1111.23            0.000E+00  9.208E+00  9.700E-02  6.562E+01  1.390E+01  2.449E+00  1.073E-01

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   2010.00  5.724E+02  5.010E+02  2.680E+01  8.409E+00  3.478E+01  1.330E-05  1.356E+00  3.314E-03
    2   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   2000.00  5.724E+02  5.010E+02  2.684E+01  8.366E+00  3.482E+01  1.423E-05  1.356E+00  3.377E-03
    3   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1990.00  5.724E+02  5.009E+02  2.688E+01  8.323E+00  3.486E+01  1.523E-05  1.356E+00  3.442E-03
    4   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1980.00  5.724E+02  5.009E+02  2.693E+01  8.279E+00  3.491E+01  1.632E-05  1.355E+00  3.509E-03
    5   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1970.00  5.724E+02  5.008E+02  2.697E+01  8.235E+00  3.495E+01  1.750E-05  1.355E+00  3.577E-03
    6   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1960.00  5.724E+02  5.008E+02  2.702E+01  8.190E+00  3.499E+01  1.877E-05  1.355E+00  3.648E-03
    7   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1950.00  5.724E+02  5.008E+02  2.706E+01  8.145E+00  3.504E+01  2.015E-05  1.355E+00  3.721E-03
    8   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1940.00  5.724E+02  5.007E+02  2.711E+01  8.100E+00  3.508E+01  2.165E-05  1.355E+00  3.796E-03
    9   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1930.00  5.724E+02  5.007E+02  2.715E+01  8.054E+00  3.513E+01  2.327E-05  1.355E+00  3.873E-03
   10   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1920.00  5.724E+02  5.006E+02  2.720E+01  8.008E+00  3.518E+01  2.504E-05  1.355E+00  3.953E-03
   11   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1910.00  5.724E+02  5.006E+02  2.724E+01  7.962E+00  3.522E+01  2.696E-05  1.355E+00  4.035E-03
   12   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1900.00  5.724E+02  5.005E+02  2.729E+01  7.915E+00  3.527E+01  2.904E-05  1.355E+00  4.120E-03
   13   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1890.00  5.724E+02  5.005E+02  2.734E+01  7.867E+00  3.532E+01  3.131E-05  1.355E+00  4.207E-03
   14   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1880.00  5.724E+02  5.004E+02  2.739E+01  7.820E+00  3.537E+01  3.379E-05  1.355E+00  4.297E-03
   15   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1870.00  5.724E+02  5.004E+02  2.743E+01  7.771E+00  3.541E+01  3.648E-05  1.355E+00  4.390E-03
   16   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1860.00  5.724E+02  5.003E+02  2.748E+01  7.723E+00  3.546E+01  3.943E-05  1.355E+00  4.486E-03
   17   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1850.00  5.724E+02  5.003E+02  2.753E+01  7.674E+00  3.551E+01  4.264E-05  1.355E+00  4.585E-03
   18   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1840.00  5.724E+02  5.002E+02  2.758E+01  7.624E+00  3.556E+01  4.615E-05  1.355E+00  4.687E-03
   19   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1830.00  5.724E+02  5.002E+02  2.763E+01  7.574E+00  3.561E+01  5.000E-05  1.355E+00  4.793E-03
   20   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1820.00  5.724E+02  5.001E+02  2.768E+01  7.524E+00  3.566E+01  5.420E-05  1.355E+00  4.902E-03
   21   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1810.00  5.724E+02  5.001E+02  2.773E+01  7.473E+00  3.571E+01  5.882E-05  1.355E+00  5.015E-03
   22   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1800.00  5.724E+02  5.000E+02  2.778E+01  7.422E+00  3.576E+01  6.387E-05  1.355E+00  5.132E-03
   23   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1790.00  5.724E+02  5.000E+02  2.783E+01  7.371E+00  3.581E+01  6.943E-05  1.355E+00  5.253E-03
   24   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1780.00  5.724E+02  4.999E+02  2.789E+01  7.319E+00  3.587E+01  7.553E-05  1.355E+00  5.378E-03
   25   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1770.00  5.724E+02  4.999E+02  2.794E+01  7.266E+00  3.592E+01  8.224E-05  1.354E+00  5.507E-03
   26   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1760.00  5.724E+02  4.998E+02  2.799E+01  7.213E+00  3.597E+01  8.963E-05  1.354E+00  5.641E-03
   27   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1750.00  5.724E+02  4.998E+02  2.805E+01  7.160E+00  3.602E+01  9.778E-05  1.354E+00  5.779E-03
   28   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1740.00  5.724E+02  4.997E+02  2.810E+01  7.106E+00  3.608E+01  1.068E-04  1.354E+00  5.923E-03
   29   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1730.00  5.724E+02  4.997E+02  2.815E+01  7.052E+00  3.613E+01  1.167E-04  1.354E+00  6.072E-03
   30   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1720.00  5.724E+02  4.996E+02  2.821E+01  6.997E+00  3.619E+01  1.277E-04  1.354E+00  6.226E-03
   31   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1710.00  5.724E+02  4.996E+02  2.826E+01  6.941E+00  3.624E+01  1.398E-04  1.354E+00  6.386E-03
   32   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1700.00  5.724E+02  4.995E+02  2.832E+01  6.886E+00  3.630E+01  1.532E-04  1.354E+00  6.551E-03
   33   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1690.00  5.724E+02  4.994E+02  2.838E+01  6.830E+00  3.636E+01  1.681E-04  1.354E+00  6.724E-03
   34   1    nobuffer  Earth         1.00    100.00    739.48   1111.23   1680.00  5.724E+02  4.994E+02  2.843E+01  6.773E+00  3.641E+01  1.847E-04  1.354E+00  6.902E-03
