 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     1.00E+24   1   nobuffer  Earth            100.00    738.65   1110.78            2.758E+04  2.288E+02  2.567E+00  2.072E+03  2.398E+02  7.190E+01  1.682E+00
 quenched pressures   1.00E+24   1   nobuffer  Earth            100.00    738.65   1110.78            5.328E+02  4.421E+00  4.959E-02  4.003E+01  4.632E+00  1.368E+00  3.199E-02
 dry pressures        1.00E+24   1   nobuffer  Earth            100.00    738.65   1110.78            0.000E+00  8.380E+00  9.400E-02  7.587E+01  8.780E+00  2.633E+00  6.158E-02

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   2010.00  5.833E+02  5.209E+02  1.698E+01  5.654E+00  3.836E+01  2.189E-06  1.382E+00  1.689E-03
    2   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   2000.00  5.833E+02  5.209E+02  1.701E+01  5.624E+00  3.839E+01  2.343E-06  1.382E+00  1.721E-03
    3   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1990.00  5.833E+02  5.209E+02  1.705E+01  5.593E+00  3.842E+01  2.510E-06  1.382E+00  1.755E-03
    4   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1980.00  5.833E+02  5.208E+02  1.708E+01  5.562E+00  3.845E+01  2.689E-06  1.382E+00  1.789E-03
    5   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1970.00  5.833E+02  5.208E+02  1.711E+01  5.531E+00  3.848E+01  2.884E-06  1.382E+00  1.825E-03
    6   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1960.00  5.833E+02  5.208E+02  1.714E+01  5.499E+00  3.851E+01  3.095E-06  1.382E+00  1.862E-03
    7   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1950.00  5.833E+02  5.207E+02  1.717E+01  5.467E+00  3.854E+01  3.323E-06  1.382E+00  1.899E-03
    8   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1940.00  5.833E+02  5.207E+02  1.720E+01  5.435E+00  3.858E+01  3.571E-06  1.382E+00  1.938E-03
    9   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1930.00  5.833E+02  5.207E+02  1.724E+01  5.403E+00  3.861E+01  3.840E-06  1.382E+00  1.978E-03
   10   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1920.00  5.833E+02  5.206E+02  1.727E+01  5.370E+00  3.864E+01  4.132E-06  1.382E+00  2.019E-03
   11   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1910.00  5.833E+02  5.206E+02  1.730E+01  5.337E+00  3.867E+01  4.449E-06  1.382E+00  2.062E-03
   12   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1900.00  5.833E+02  5.206E+02  1.733E+01  5.304E+00  3.871E+01  4.795E-06  1.382E+00  2.106E-03
   13   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1890.00  5.833E+02  5.205E+02  1.737E+01  5.271E+00  3.874E+01  5.171E-06  1.382E+00  2.151E-03
   14   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1880.00  5.833E+02  5.205E+02  1.740E+01  5.237E+00  3.877E+01  5.581E-06  1.382E+00  2.198E-03
   15   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1870.00  5.833E+02  5.205E+02  1.743E+01  5.203E+00  3.881E+01  6.027E-06  1.382E+00  2.246E-03
   16   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1860.00  5.833E+02  5.204E+02  1.747E+01  5.169E+00  3.884E+01  6.515E-06  1.382E+00  2.296E-03
   17   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1850.00  5.833E+02  5.204E+02  1.750E+01  5.134E+00  3.888E+01  7.048E-06  1.382E+00  2.347E-03
   18   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1840.00  5.833E+02  5.204E+02  1.754E+01  5.100E+00  3.891E+01  7.630E-06  1.382E+00  2.400E-03
   19   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1830.00  5.833E+02  5.203E+02  1.757E+01  5.065E+00  3.895E+01  8.267E-06  1.382E+00  2.455E-03
   20   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1820.00  5.833E+02  5.203E+02  1.761E+01  5.029E+00  3.898E+01  8.964E-06  1.382E+00  2.512E-03
   21   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1810.00  5.833E+02  5.203E+02  1.764E+01  4.994E+00  3.902E+01  9.729E-06  1.382E+00  2.571E-03
   22   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1800.00  5.833E+02  5.202E+02  1.768E+01  4.958E+00  3.905E+01  1.057E-05  1.382E+00  2.631E-03
   23   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1790.00  5.833E+02  5.202E+02  1.772E+01  4.921E+00  3.909E+01  1.149E-05  1.382E+00  2.694E-03
   24   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1780.00  5.833E+02  5.201E+02  1.775E+01  4.885E+00  3.913E+01  1.250E-05  1.382E+00  2.759E-03
   25   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1770.00  5.833E+02  5.201E+02  1.779E+01  4.848E+00  3.916E+01  1.361E-05  1.382E+00  2.826E-03
   26   1    nobuffer  Earth         1.00    100.00    738.65   1110.78   1760.00  5.833E+02  5.201E+02  1.783E+01  4.811E+00  3.920E+01  1.484E-05  1.382E+00  2.895E-03
