 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     1.58E+25   1   nobuffer  Earth            100.00    767.93   1126.33            1.405E+04  9.610E+03  1.914E-03  1.466E-02  2.314E+03  5.988E+01  2.572E+01
 quenched pressures   1.58E+25   1   nobuffer  Earth            100.00    767.93   1126.33            1.650E+02  1.129E+02  2.248E-05  1.722E-04  2.718E+01  6.902E-01  2.964E-01
 dry pressures        1.58E+25   1   nobuffer  Earth            100.00    767.93   1126.33            0.000E+00  4.586E+01  9.132E-06  6.996E-05  1.104E+01  2.858E-01  1.227E-01

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    767.99   1126.34   2010.00  3.056E+02  1.139E+02  1.678E+02  2.002E+01  3.006E+00  3.420E-02  7.060E-01  3.749E-02
    2   1    nobuffer  Earth         1.00    100.00    767.99   1126.34   2000.00  3.056E+02  1.139E+02  1.679E+02  2.000E+01  3.026E+00  3.658E-02  7.057E-01  3.811E-02
    3   1    nobuffer  Earth         1.00    100.00    767.99   1126.34   1990.00  3.056E+02  1.139E+02  1.679E+02  1.997E+01  3.047E+00  3.915E-02  7.054E-01  3.875E-02
    4   1    nobuffer  Earth         1.00    100.00    767.99   1126.34   1980.00  3.056E+02  1.139E+02  1.679E+02  1.995E+01  3.068E+00  4.192E-02  7.051E-01  3.940E-02
    5   1    nobuffer  Earth         1.00    100.00    767.99   1126.34   1970.00  3.056E+02  1.139E+02  1.679E+02  1.993E+01  3.089E+00  4.492E-02  7.048E-01  4.007E-02
    6   1    nobuffer  Earth         1.00    100.00    767.99   1126.34   1960.00  3.056E+02  1.139E+02  1.679E+02  1.990E+01  3.111E+00  4.818E-02  7.044E-01  4.075E-02
    7   1    nobuffer  Earth         1.00    100.00    767.99   1126.34   1950.00  3.056E+02  1.138E+02  1.679E+02  1.988E+01  3.133E+00  5.170E-02  7.041E-01  4.146E-02
    8   1    nobuffer  Earth         1.00    100.00    767.99   1126.34   1940.00  3.056E+02  1.138E+02  1.679E+02  1.985E+01  3.155E+00  5.551E-02  7.038E-01  4.218E-02
    9   1    nobuffer  Earth         1.00    100.00    767.99   1126.34   1930.00  3.056E+02  1.138E+02  1.680E+02  1.983E+01  3.178E+00  5.966E-02  7.034E-01  4.293E-02
   10   1    nobuffer  Earth         1.00    100.00    767.99   1126.34   1920.00  3.056E+02  1.138E+02  1.680E+02  1.980E+01  3.201E+00  6.415E-02  7.030E-01  4.370E-02
