 planet=Earth        Mplanet=  1.00   buffer=nobuffer pCO2=   100.000 pH2O=   500.000 minpH2O=    10.000 pN2=     2.000 pCO=     0.000

                         M_i    N_O   buffer   planet           PCO2     T_q(CH4)  T_q(NH3)             H2O        H2         CO         CO2        CH4        N2         NH3     
 quenched columns     1.00E+25   1   nobuffer  Earth            100.00    753.80   1118.92            2.101E+04  2.654E+03  3.820E-02  1.769E+00  2.313E+03  6.456E+01  1.636E+01
 quenched pressures   1.00E+25   1   nobuffer  Earth            100.00    753.80   1118.92            3.348E+02  4.230E+01  6.088E-04  2.819E-02  3.686E+01  9.587E-01  2.430E-01
 dry pressures        1.00E+25   1   nobuffer  Earth            100.00    753.80   1118.92            0.000E+00  2.296E+01  3.304E-04  1.530E-02  2.000E+01  5.583E-01  1.415E-01

   i   N_O   buffer    planet       Mplanet   PCO2    T_q(CH4)  T_q(NH3)   T[K]    P[bars]      H2O        H2         CO         CO2        CH4        N2         NH3     
    1   1    nobuffer  Earth         1.00    100.00    753.82   1118.92   2010.00  4.150E+02  2.442E+02  1.385E+02  2.252E+01  8.781E+00  1.009E-02  9.676E-01  3.290E-02
    2   1    nobuffer  Earth         1.00    100.00    753.82   1118.92   2000.00  4.150E+02  2.441E+02  1.385E+02  2.247E+01  8.829E+00  1.079E-02  9.673E-01  3.346E-02
    3   1    nobuffer  Earth         1.00    100.00    753.82   1118.92   1990.00  4.150E+02  2.441E+02  1.386E+02  2.242E+01  8.877E+00  1.154E-02  9.670E-01  3.403E-02
    4   1    nobuffer  Earth         1.00    100.00    753.82   1118.92   1980.00  4.150E+02  2.440E+02  1.386E+02  2.237E+01  8.926E+00  1.236E-02  9.667E-01  3.462E-02
    5   1    nobuffer  Earth         1.00    100.00    753.82   1118.92   1970.00  4.150E+02  2.440E+02  1.387E+02  2.232E+01  8.975E+00  1.324E-02  9.665E-01  3.522E-02
    6   1    nobuffer  Earth         1.00    100.00    753.82   1118.92   1960.00  4.150E+02  2.439E+02  1.387E+02  2.227E+01  9.026E+00  1.419E-02  9.661E-01  3.584E-02
    7   1    nobuffer  Earth         1.00    100.00    753.82   1118.92   1950.00  4.150E+02  2.439E+02  1.388E+02  2.222E+01  9.077E+00  1.522E-02  9.658E-01  3.648E-02
    8   1    nobuffer  Earth         1.00    100.00    753.82   1118.92   1940.00  4.150E+02  2.438E+02  1.388E+02  2.217E+01  9.129E+00  1.634E-02  9.655E-01  3.714E-02
    9   1    nobuffer  Earth         1.00    100.00    753.82   1118.92   1930.00  4.150E+02  2.438E+02  1.389E+02  2.211E+01  9.182E+00  1.756E-02  9.652E-01  3.781E-02
   10   1    nobuffer  Earth         1.00    100.00    753.82   1118.92   1920.00  4.150E+02  2.437E+02  1.389E+02  2.206E+01  9.235E+00  1.888E-02  9.648E-01  3.850E-02
